作者ID,姓名,简介
b3f40e1909dfb7f4,颜真卿,颜真卿为唐代杰出书法家，其楷书端庄雄伟，行书遒劲郁勃，创“颜体”，又以忠义闻名，为维护国家统一做出贡献。
d1641a1a4b725f5d,朱熹,朱熹是南宋理学家、思想家、哲学家、教育家。他著述颇丰，其理学思想对后世影响深远，在文化教育等领域贡献卓越。
81bb5f2fe79ca956,司马光,司马光，北宋史学家、文学家。主持编纂《资治通鉴》，其作品多反映政治、历史等内容，对后世影响深远。
546e9f848f9fee4e,赵恒,赵恒即宋真宗，是宋朝第三位皇帝。他在位前期任用贤能，减免税赋，与辽订立澶渊之盟，后期迷信道教，广建宫观。
5863b74b8f306134,韩愈,韩愈，字退之，唐代杰出文学家、思想家。倡导古文运动，文风雄奇奔放，其作品对后世文学影响深远，官至吏部侍郎。
1efdb400d792bdc5,王贞白,王贞白，唐末五代十国著名诗人。其诗风古朴，才华出众，著有《灵溪集》，以《白鹿洞二首·其一》等诗作闻名。
0567c81814818606,王安石,王安石，北宋著名政治家、文学家、思想家。熙宁变法，力主改革。其文雄健峭拔，其诗精于修辞，在文学史上影响深远。
04cd7ba72410cc1a,杜甫,杜甫，字子美，自号少陵野老。唐代伟大现实主义诗人，其诗反映社会风貌，沉郁顿挫，被尊为“诗圣”，作品有《杜工部集》。
c9e5c0645235b73e,陶渊明,陶渊明，东晋田园诗人。自幼修习儒家经典，怀有兼济天下的政治抱负，后因社会动荡而归隐，以田园生活为题材创作诸多佳作。
4312a4ac8634d6c8,顾炎武,顾炎武是明末清初著名思想家、学者，学识渊博，著有《日知录》等，强调经世致用，注重实学，其思想影响深远。
e3d008cd91283516,范仲淹,范仲淹，北宋杰出的政治家、文学家。他政绩卓著，有“先天下之忧而忧，后天下之乐而乐”的千古名句，著有《范文正公集》。
f4dfc89634e36c0f,王翰,王翰，唐代边塞诗人。性格豪放不羁，其诗多写边塞生活，风格壮丽。代表作有《凉州词》等，以独特风格展现唐代边塞风貌。
24c83f7c7b33bbde,王之涣,王之涣，唐代诗人。其诗多被当时乐工制曲歌唱，以描写边塞风光著称，代表作有《登鹳雀楼》《凉州词》等。
1a6a5959ba85f51a,杨炯,杨炯，唐代诗人，与王勃、卢照邻、骆宾王并称“初唐四杰”。其诗风刚健，擅长五言律诗，代表作有《从军行》等。
0e6bc92f94106db2,卢纶,卢纶是唐代诗人，大历十才子之一。其诗多送别酬答之作，也有反映社会现实的作品，风格雄浑，情调慷慨。
cc393fa8f2fd94f1,袁枚,袁枚，清代诗人、散文家。字子才，号简斋，晚年自号仓山居士、随园主人等。论诗主张抒写性情，创“性灵说”，著有《随园诗话》等。
9f073525c3afef41,胡令能,胡令能，唐代诗人。少为手工匠，家贫。其诗多写农村生活，语言质朴，意境深远，以《小儿垂钓》等作闻名。
ea2e4c270851c19f,雷震,雷震，南宋诗人，生平不详。其诗多描绘自然景色与乡村生活，风格质朴清新，如《村晚》展现乡村晚景的宁静美好。
fb9cfab652d4f6e8,杨万里,杨万里，南宋著名诗人。其诗风独特，清新自然，题材广泛。一生作诗两万余首，与尤袤、范成大、陆游并称“中兴四大诗人”。
687a5680ddf6041a,列子,列子，名御寇，战国时期道家代表人物。主张清静无为，其学说本于黄帝老子，著有《列子》，包含诸多寓言故事。
60d8170c4025815a,吕岩,吕岩，唐末五代著名道士。号纯阳子，世称吕洞宾。其诗多以道教思想为题材，风格独特，在道教及文学领域影响深远。
59946c75aa400f37,刘义庆,刘义庆是南朝宋宗室、文学家。自幼才华出众，爱好文学，著有《世说新语》等，其作品在文学史上影响深远。
498f3ba0290c14ba,施肩吾,施肩吾，唐代著名诗人、道学家、民间开发澎湖第一人。他博学多才，工诗善文，其作品多写民间生活与自然景色。
b2ec2f06ebe388c4,韦庄,韦庄，唐末五代诗人、词人。其诗多写乱世离情，词风清丽，有《秦妇吟》等佳作，与温庭筠并称“温韦”，为花间派重要词人。
b15dd070ea79039a,左思,左思，西晋著名文学家。其貌寝口讷，不好交游。所作《三都赋》轰动一时，造成“洛阳纸贵”，另有《咏史诗》等佳作。
cc2ea21cc303da30,徐渭,徐渭，明代著名文学家、书画家等。多才多艺，诗文书画皆擅，一生坎坷，其作品风格独特，对后世影响深远。
df3908fb38a4666a,于鹄,于鹄，唐代诗人。其诗多写山林生活及僧道情怀。风格质朴清新，部分作品反映社会现实，有一定艺术价值。
1203bc05069505cb,李涉,李涉，唐代诗人。早岁客梁园，后屡试不第，浪游四方。其诗多写自身经历与羁旅之感，风格明快，有独特艺术魅力。
e20ab13385a46172,张若虚,张若虚，初唐诗人。与贺知章、张旭、包融并称“吴中四士”。其诗仅存二首，《春江花月夜》尤为著名，乃千古绝唱。
41d23fab3caaebb9,杜牧,杜牧，唐代杰出诗人、散文家。其诗风格俊爽清丽，多涉咏史抒怀，如《泊秦淮》等；散文气势雄浑，著有《樊川文集》。
02e49b3230281fb0,贺铸,贺铸，字方回，号庆湖遗老，北宋词人。其词风格多样，兼具豪放与婉约，作品多有怀才不遇之感，对后世词坛影响颇深。
7f7bc02ec1d2eba3,贺知章,贺知章，唐代诗人、书法家。性旷达，善谈笑，晚年尤放诞，自号“四明狂客”。其诗文以清新通俗著称。
3129dde70b287b39,高鼎,高鼎，清代后期诗人。其生活在鸦片战争之后，擅长描写自然景色，诗作多含生活气息，以《村居》等作品闻名。
1e3f521af11ba919,叶绍翁,叶绍翁，南宋中期诗人，字嗣宗，号靖逸，其诗多写江湖田园风光，七言绝句尤为精巧，著有《靖逸小集》。
66a9986b976dbf41,赵师秀,赵师秀，南宋诗人，字紫芝，号灵秀，永嘉人。其诗工于写景，清新自然，为“永嘉四灵”之一。
693847157d655402,周邦彦,周邦彦，北宋著名词人。精通音律，词风典雅精丽。其作品在词的格律、语言等方面多有创新，对后世词坛影响深远。
aff68ac6edf50698,高骈,高骈，唐末名将、诗人。曾在边塞立功，后任淮南节度使等职。其诗多写边塞风光，风格豪放，也有部分诗作反映社会现实。
72f19365f16b0f21,孟浩然,孟浩然，唐代山水田园派诗人。早年隐居鹿门山，40岁入长安求仕未得。其诗多写山水田园生活，清淡自然，意境深远。
471f1c9076cbf9cd,白朴,白朴，字太素，号兰谷，元代著名杂剧作家。自幼聪慧，博学多才，其剧作多以历史传说为题材，风格优美，代表作有《梧桐雨》等。
2ea1af99b0d5c524,马致远,马致远，元代戏曲作家、散曲家。号东篱，其作品多写神仙道化，风格豪放清逸，代表作有《汉宫秋》《天净沙·秋思》等。
cee151dc103220a6,王绩,王绩，字无功，号东皋子，隋末唐初诗人。性简傲，嗜酒，能诗善文，其诗多以山水田园为题材，风格清新自然。
2119b3f84a34051c,张继,张继，唐代诗人。其诗作多写羁旅情愁，《枫桥夜泊》尤为著名。他的诗风清远，意境幽美，在唐代诗坛别具一格。
3b439429ea19e7fe,曹丕,曹丕，魏文帝，曹操次子。善诗文，其《燕歌行》是现存最早的完整七言诗。在位期间推行九品中正制，巩固政权。
780c7fd624bda1f7,柳宗元,柳宗元，唐代文学家、思想家。因参与永贞革新失败遭贬，其文多讽时刺世，山水游记成就颇高，与韩愈并称“韩柳”。
b2fc23f9938705ac,卢钺,卢钺，南宋诗人。字威节，一作威仲，闽县人。其诗作以写景状物见长，风格清新自然。
b4c5a528cb59214f,祖咏,祖咏，唐代诗人。其诗多写山水田园，辞意清新，意境深远。他擅长五言诗，作品风格质朴自然，在唐代诗坛别具一格。
e95ee743d1bfebe2,郑燮,郑燮，号板桥，清代书画家、文学家。其诗书画世称“三绝”，为“扬州八怪”重要代表，作品多反映民间疾苦。
06ce6ef3a8e6f907,吕本中,吕本中，南宋诗人、词人、道学家。其诗风兼具江西诗派之长，又有自己的独特风格，词作也颇为清新自然。
6b78d2f37f0e0dba,岳飞,岳飞，南宋抗金名将，精忠报国，战功赫赫，其军事才能卓越，却遭秦桧等陷害，含冤而死，留下千古英名。
738ecab5c028cfb3,夏完淳,夏完淳是南明抗清英雄，自幼聪慧，才思敏捷，以诗明志，积极抗清，后兵败被俘，慷慨就义，年仅17岁。
a644b67c8b5752ec,庾信,庾信，南北朝时期文学家。初仕南朝，后出使北朝被留。其诗赋风格苍劲悲凉，融合南北文学之长，代表作有《哀江南赋》等。
0d96b4d2b6b2f534,蔡琰,蔡琰，字文姬，东汉末年女性文学家。博学多才，通音律，初嫁卫仲道，后遭战乱流离，曾被匈奴掳走，有《悲愤诗》等作品传世。
e987593c34ec66e2,淮上女,淮上女为南宋时期被金人掳掠北去的女子。其词作多抒发亡国之痛、身世飘零之感，情感真挚悲切。
0c3fd9d976f8e7dd,陈与义,陈与义是宋代杰出诗人。其诗风雄浑沉郁，前期多写个人身世，后期忧国伤时，作品在宋代诗坛有重要地位。
40e475af4709b64a,屈原,屈原，战国时期楚国诗人、政治家。他忠君爱国，遭谗被贬，自沉汨罗。其作品如《离骚》等，极具浪漫主义色彩。
22449bb47af612bd,崔珏,崔珏，字梦之，唐代诗人。其诗风清丽，多写爱情、友情等，以《哭李商隐》二首最为著名，在唐代诗坛有一定地位。
aff5205ceacff787,李忱,李忱即唐宣宗，是唐朝第十六位皇帝。他勤于政事，明察沉断，致力于整顿吏治，使唐朝呈现出“中兴”局面。
3016aaac9021cb21,阮籍,阮籍是三国时期魏国诗人，竹林七贤之一。其诗风格独特，多感慨人生、抒发忧愤，代表作有《咏怀八十二首》等。
e6d0942d104e4f71,邵雍,邵雍，北宋著名理学家、数学家、诗人。其学以先天象数为宗，著有《皇极经世》等，对后世理学发展影响深远。
740656f5aa61df2b,文天祥,文天祥，南宋末年政治家、文学家，抗元名臣。以忠烈名传后世，艰苦抗元，兵败被俘，宁死不屈，留下《过零丁洋》等千古名篇。
572ae82793362e34,崔颢,崔颢，唐代诗人。其诗风豪放，早期作品多写闺情，后多写边塞生活等。代表作有《黄鹤楼》等，在唐代诗坛颇具影响力。
b1729513968fa728,王湾,王湾，唐代诗人。先天年间进士，其诗风壮美，意境开阔。所作《次北固山下》等，展现出高超艺术水准，在唐诗中颇具影响。
ef7bb425006bc7da,张九龄,张九龄，字子寿，韶州曲江人。唐开元尚书丞相，诗人。举止优雅，风度不凡，以直言敢谏著称，诗风清淡。
03329538ad9d73e5,常建,常建，唐代诗人。其诗多写山水田园，风格清幽超逸。仕途坎坷，作品多表达对人生的感慨及对自然的热爱，有独特艺术魅力。
b44a960be8a456f3,于谦,于谦，明代名臣。为官清廉正直，力主抗敌，保卫京师，却遭诬陷被害。其诗作风格质朴刚劲，多有忧国忧民之情怀。
22ccd4dc92f84000,王冕,王冕，元代诗人、画家。出身贫寒，一生爱好梅花，以画梅著称。诗多描写田园生活，风格质朴自然。
95614e79e23da13f,罗隐,罗隐，唐代诗人。才华横溢却仕途坎坷，诗文多讽世之作，笔锋犀利，其作品在文学史上具独特地位。
40c8626e9d5bf3db,刘桢,刘桢，东汉末年文学家，“建安七子”之一。其诗风格刚劲，语言质朴，所作多反映社会现实与人生感慨。
54a2977eb66c86d0,虞世南,虞世南，初唐著名书法家、文学家。官至秘书监，封永兴县子，世称“虞永兴”。其书法笔致圆融遒劲，文辞典雅，为唐初四杰之一。
e5b1a9cb7e168f43,曹植,曹植，字子建，三国时期曹魏文学家。自幼聪慧，才高八斗。其诗辞赋俱佳，代表作有《洛神赋》《白马篇》等。
35f851f8cabc6a3b,唐琬,唐琬是南宋著名才女，自幼聪慧，擅长诗词。她与陆游情投意合却被迫分离，其词哀怨凄楚，才情令人赞叹，命运令人惋惜。
ca8dd8994e9cfd11,卓文君,卓文君乃西汉才女，善鼓琴，与司马相如相恋，当垆卖酒传为佳话。其作品有《白头吟》等，才情出众，敢爱敢恨。
067d23adb14203f1,西鄙人,西鄙人，唐代诗人，生平不详。其作品多反映边塞生活，风格质朴豪放，以《哥舒歌》等诗作流传后世。
186a305b0d843d46,戴叔伦,戴叔伦是唐代诗人，其诗多表现隐逸生活和闲适情调，也有反映社会现实之作，体裁以五言、七言为主，风格清新自然。
18f575014de02a14,牛希济,牛希济，五代十国时期前蜀词人。仕前蜀，累官翰林学士、御史中丞。其词多写男女情事，风格清新自然。
bbdbe1c86678dcfb,李贤,李贤一般指唐朝章怀太子。他是唐高宗李治第六子，武则天次子，博学多才，曾注《后汉书》，后被武则天废为庶人，最终被逼自杀。
e37a86d1a1dbed0c,曹操,曹操，字孟德，东汉末年杰出的政治家、军事家、文学家。他善用权谋，统一北方，其诗歌气魄雄伟，慷慨悲凉。
5994775adaca5dc9,郦道元,郦道元，北魏时期地理学家、文学家。好学博览，著有《水经注》，以注《水经》而闻名，其文辞优美，兼具科学与文学价值。
d6059db7b8d22be0,吴均,吴均，南朝梁文学家。其诗文风格清拔，多描写山水景物，有《与朱元思书》等佳作，开创“吴均体”，对后世文学影响颇大。
355935b5f7559d04,王勃,王勃，唐代诗人，字子安，绛州龙门人。与杨炯、卢照邻、骆宾王并称“初唐四杰”，其诗风清新自然，代表作有《滕王阁序》等。
ab32c50a60222c25,张养浩,张养浩是元代著名政治家、文学家。曾任监察御史等职，以直言敢谏著称。其文辞清新，代表作有《山坡羊·潼关怀古》等。
540153d446e24597,杨慎,杨慎，明代文学家、学者。正德六年状元，以才学高博著称，因“大礼议”受廷杖，谪戍云南永昌，著作颇丰。
c7007819c924df7a,卢照邻,卢照邻为初唐诗人，与王勃、杨炯、骆宾王并称“初唐四杰”。其诗多忧愤之作，擅长七言歌行，对推动诗歌发展贡献颇大。
7c7e4797055e2504,西晋·李密,李密，西晋犍为武阳人。父早亡，母改嫁，由祖母刘氏抚养。以孝闻名，曾仕蜀汉，后归晋，著有《陈情表》。
5bed4a6b391e094e,嵇康,嵇康，三国曹魏时著名思想家、音乐家、文学家。崇尚老庄，讲求养生服食之道，个性刚直，因得罪权贵遭构陷，被司马昭处死。
f80e62576f5f2976,孔稚珪,孔稚珪，南朝齐骈文家。博学能文，仕途经历丰富，其文多有佳作，代表作《北山移文》讽刺假隐士，文辞精美。
edf27c49da5ef168,沈复,沈复，清代文学家。字三白，号梅逸。著有《浮生六记》，以生动笔触记录生活点滴，文笔细腻，情感真挚。
aa1e17be59466d47,汪琬,汪琬，明末清初散文家，字苕文，号钝庵等。其文风简洁，所作散文多为经世致用之作，有《钝翁类稿》等著作。
369d326f0ae1ecfd,李陵,李陵为西汉名将李广利之侄，善骑射。率部与匈奴作战，力战而降，后留居匈奴，其事迹在历史上颇具争议。
3e56d56a8e8ae235,周密,周密为南宋词人、文学家。能诗善文，词风典雅，著有《草窗韵语》《武林旧事》《齐东野语》等，在文学史上有一定地位。
6059e1fd0a621f4a,苏辙,苏辙，北宋文学家、政治家，字子由，与父苏洵、兄苏轼合称“三苏”，其文汪洋澹泊，有《栾城集》等著作。
6a814e248b639051,蒋坦,蒋坦，清代诗人。其才情出众，诗作多写个人生活情感，风格细腻，以《秋灯琐忆》展现与爱妻的生活点滴。
d22a4664b7213ff5,归有光,归有光，明代散文家，字熙甫，号震川。文风质朴，情感真挚，其散文对后世散文发展影响深远。
3a3739ecbf78c698,袁宏道,袁宏道，明代文学家，公安派代表人物。字中郎，号石公。倡导“独抒性灵，不拘格套”，文风清新活泼。
d9f2467ff0e36fa7,李璟,李璟，南唐中主，在位时政治上受北方后周威胁，国势日衰。其词多感慨，风格清新，对南唐词风发展有重要影响。
01b0404cb734c4dc,晏几道,晏几道，字叔原，号小山，北宋著名词人。出身名门，一生仕途坎坷，其词多写爱情、身世之感，词风哀感缠绵、清壮顿挫。
c1f1f6615ff0335b,张志和,张志和，唐代诗人、画家、隐士。博学能文，擅诗词、书画、音乐。其词多写隐居生活，风格清新自然，《渔歌子》最为著名。
dfd37fd4b7aca2d4,左丘明,左丘明，春秋时期鲁国史官。曾任鲁国太史，博闻强识，著有《左传》《国语》，为中国古代史学和文学发展贡献巨大。
1d0b168586df683c,曾巩,曾巩，北宋文学家、史学家、政治家。其文“古雅、平正、冲和”，为唐宋八大家之一，著有《元丰类稿》等。
6f3b119ce325964d,鱼玄机,鱼玄机，唐代女诗人。性聪慧，有才思。初为李亿妾，后出家为女道士，因笞杀婢女绿翘获罪，最终被处死。
d982c1c54f0fe1a9,柳如是,柳如是为明末清初名妓，才色双全。她与钱谦益等交往，积极参与社会活动，留下诸多传奇事迹，其诗词颇具特色。
e13cb4c317ea75ed,寇准,寇准是北宋政治家、诗人。他刚直不阿，敢于进谏，在澶渊之盟中力主抗辽，为北宋稳定立下大功，有《寇忠愍诗集》传世。
9a29cfa28122ab21,雍裕之,雍裕之，唐代诗人。其诗多写日常生活小事，风格婉转，语言清新，以《农家望晴》《江上闻猿》等作品较为著名。
7979db824cffb5c2,何希尧,何希尧，唐代诗人。其诗作多有佳作，风格独特，在当时诗坛有一定影响力，为唐代诗歌发展贡献了自己的作品。
89a3f1c70b41964b,翁元龙,翁元龙，字时可，号处静，宋代词人。其词多写闺情、咏物，词风婉约细腻，有《渔父词》《瑞龙吟》等作品传世。
6f29890205b82bfe,司空曙,司空曙，字文明，广平人，为“大历十才子”之一。其诗多写自然景色和乡情旅思，情感细腻，风格清幽。
7f61fe15f0b4888d,吴文英,吴文英，南宋词人，字君特，号梦窗，其词风密丽，善用典故，词章工巧，对后世词坛影响深远。
9896951f511f649b,陈师道,陈师道，北宋诗人，为“苏门六君子”之一。其诗风格简古，苦吟锤炼，多写个人生活琐事与人生感慨。
484105106030fb5d,汪藻,汪藻是北宋末、南宋初文学家。其学识渊博，工于四六文，作品多有反映社会现实及个人情志，文风典雅。
5209d809d2985a34,顾夐,顾夐，五代十国时期前蜀词人。善写男女之情，词风绮丽香艳，其作品在花间词派中颇具特色。
2d8e143f45b402a4,冯延巳,冯延巳是五代十国时期南唐著名词人。他仕于南唐，词作多写闲情逸致，风格委婉细腻，对北宋词坛影响较大。
a7501f4e9740c231,蒋捷,蒋捷为宋末元初词人，其词多写亡国之痛，风格多样，或清新自然，或沉郁悲怆，有《竹山词》等作品传世。
868cb426cc617098,厉鹗,厉鹗，清代文学家，字太鸿，号樊榭。其诗词风格清幽冷峭，工于雕琢，为浙西词派重要作家，著有《樊榭山房集》等。
82fdc08833e709ac,史达祖,史达祖，南宋词人，字邦卿，号梅溪。其词风奇秀清逸，善用白描，多写身世之感、离别之情，有《梅溪词》传世。
e8a5656a9f005103,王羲之,王羲之，东晋时期著名书法家，字逸少，其书法风格平和自然，笔势委婉含蓄，遒美健秀，有“书圣”之称。
dafe0f9b4ec6181f,江淹,江淹，南朝宋齐梁时期文学家。少孤贫好学，早年即以文章显名，晚年才思减退，有“江郎才尽”之说。
72630c394c78f895,陆凯,陆凯，北魏人，曾任正平太守等职。他为人忠厚，以诗文见长，与范晔交好，其《赠范晔诗》颇为著名。
