名句ID,名句内容
15a06a96ba222c59,问世间，情是何物，直教生死相许？
64df3576198104a8,沾衣欲湿杏花雨，吹面不寒杨柳风。
c9d927ad81569934,男儿何不带吴钩，收取关山五十州。
b7cc6b9f01b5cfc0,我欲穿花寻路，直入白云深处，浩气展虹霓。
defceda257c248bc,直道相思了无益，未妨惆怅是清狂。
ec94b7a76ead19f3,相恨不如潮有信，相思始觉海非深。
2b0e54b7d5f0131e,落花人独立，微雨燕双飞。
b2c2170b9d5bb3a8,位卑未敢忘忧国，事定犹须待阖棺。
cfaf0f2dc1a1f708,昨夜星辰昨夜风，画楼西畔桂堂东。
7a8b93e7fae72ece,物是人非事事休，欲语泪先流。
72520b1d5dc40ed9,弃我去者，昨日之日不可留；乱我心者，今日之日多烦忧。
