主题ID,主题名称,主题简介
ff647ad82a21f027,战争,写战争的残酷、将士的牺牲与思乡，或反思战争，如杜甫 “国破山河在”，饱含痛感。
9775c75353843cea,荷花,咏荷花 “出淤泥而不染” 的高洁，或赞其夏日风姿，周敦颐《爱莲说》（文）、杨万里诗句皆经典。
503c6f89efc994f3,题画,为画作题诗，或咏画中景，或抒观画之感，诗画相融，如苏轼《惠崇春江晚景》。
1788182b43fbc2f7,感恩,表达对他人恩情（如亲情、友情、师恩）的感激，情感真挚，传递温暖。
83d7b8a4ba9ca03c,动物,描绘动物的形态、习性，或借动物喻人、抒怀，如骆宾王《咏鹅》、杜甫 “两个黄鹂鸣翠柳”。
1f5fc58d9ccf1499,散曲,元曲的重要体裁，分小令、套数，语言通俗灵动，可抒情可叙事，如马致远《天净沙・秋思》。
5550e5066e9e2c6e,感怀,触景或触事生情，抒发人生感慨，内容多与时光、境遇相关，情感内敛深沉。
ab7426f536fd351c,饮酒,借饮酒场景抒怀，或表闲适，或释愁绪，如陶渊明《饮酒・其五》，酒为情感载体。
2cf1b457a3cf003d,落花,以落花为意象，或伤春惜时，或叹世事无常，如林黛玉《葬花吟》，情感凄婉。
e49b970837414b38,桃花,咏桃花的艳丽多姿，常衬春日繁盛，或关联爱情、隐逸，如崔护 “人面桃花相映红”。
6e1585d0e39c235e,写雨,绘不同雨景（春雨、夏雨、秋雨），或赞雨润万物，或借雨抒愁，如杜甫 “好雨知时节”。
7528a810921637d0,青春,写青春的美好、活力与易逝，或抒青春情怀，如李白 “朝如青丝暮成雪”，含惜时意。
96bce2510d6fca9b,写山,描绘山的雄奇、秀丽或险峻，或借山抒怀（如隐逸、壮志），如杜甫 “会当凌绝顶”。
2951f35d968cf791,论诗,评论诗歌创作、诗人或诗风，表达诗学观点，如赵翼 “江山代有才人出”，谈诗歌发展。
21564901b06c8afe,游仙,游仙诗主题常描绘仙人生活、仙境奇幻等。如郭璞之作展现对神仙境界向往；曹植诗借游仙表情志。旨在超脱尘世，追求精神自由与永恒。
1d82f450111f2375,节日,涵盖各类传统节日，写节日习俗与氛围，抒相关情感（如团圆、思念）。
d2339bb4edaadc4c,春节,写春节的喜庆场景（贴春联、放爆竹、团圆），传递辞旧迎新的喜悦，如王安石《元日》。
5e747e1f8923847d,元宵节,绘灯市、赏月、猜灯谜的热闹，或写团圆、相思，欧阳修 “去年元夜时” 是经典。
634f817ab2ea84ea,寒食节,关联禁火、吃冷食习俗，多缅怀先贤（如介子推），表达追思之情。
a32465bf20281bad,清明节,写扫墓祭祖的哀思与踏青的生机，悲喜交织，杜牧 “清明时节雨纷纷” 广为流传。
66a2608a9be416be,端午节,咏龙舟竞渡、吃粽子习俗，纪念屈原，抒发对爱国情怀的崇敬。
e7a11606eb589c88,七夕节,关联牛郎织女传说，写情侣相思与团圆期盼，如秦观 “两情若是久长时”。
e1642a46b80482eb,中秋节,聚焦中秋赏月、吃月饼的习俗，常借明月抒团圆期盼或思乡之情，如苏轼 “但愿人长久，千里共婵娟”，是承载亲情与乡愁的经典节日主题。
edb940e327bb5ed7,重阳节,围绕登高、插茱萸、赏菊的传统，多抒思乡念亲或敬老之情，王维 “遥知兄弟登高处” 精准勾勒节日情境，尽显秋日节日的厚重感。
f9972310190c1893,托物言志,诗文常用手法，借某一事物（如梅、竹、莲）寄寓作者志向、品格，物与志相融。
